# MOLID,PROTONID,GIBBSGASNEUTRA,GIBBSGASPROTON,EELECGASNEUTRAL,EELECGASPROTON,ESMDNEU,ESMDGAS
0009,9,-83939.58396647,-84156.06724202,-83969.38051166,-84194.80596444,0.00000000,0.00000000
0010,9,-84707.75800114,-84925.96786419,-84750.68944216,-84978.23066353,0.00000000,0.00000000
0012,8,-84700.52336933,-84921.38772517,-84743.23877411,-84973.79850842,0.00000000,0.00000000
0029,9,-108571.67539956,-108795.79561614,-108618.82729632,-108852.17443726,0.00000000,0.00000000
0030,12,-108574.17078092,-108795.28268946,-108620.18516079,-108850.12400935,0.00000000,0.00000000
0031,14,-109338.77875784,-109558.28828194,-109398.10611196,-109627.00930452,0.00000000,0.00000000
0034,14,-109341.04110709,-109562.22704926,-109400.25322524,-109630.66750716,0.00000000,0.00000000
0036,11,-109333.50402173,-109557.51333220,-109392.60856431,-109626.17465441,0.00000000,0.00000000
0037,8,-108567.07505472,-108789.09504553,-108612.85077759,-108844.11181988,0.00000000,0.00000000
0038,8,-109327.96245582,-109552.52482850,-109386.91624306,-109621.30660553,0.00000000,0.00000000
0039,5,-108576.13689525,-108793.10580707,-108622.12915908,-108848.50915893,0.00000000,0.00000000
0040,7,-108578.06619357,-108796.94151842,-108622.74026677,-108851.22599424,0.00000000,0.00000000
0041,7,-107807.59565428,-108020.63186680,-107837.90914292,-108060.21637310,0.00000000,0.00000000
0091,8,-132465.18913769,-132688.26958275,-132514.96110273,-132747.66133683,0.00000000,0.00000000
0092,15,-133209.07060991,-133427.86359290,-133271.27032974,-133499.48682210,0.00000000,0.00000000
0094,15,-133208.71665662,-133433.09331144,-133270.93206496,-133504.09442795,0.00000000,0.00000000
0095,12,-133201.97647131,-133427.68556203,-133263.88534138,-133498.81463467,0.00000000,0.00000000
0096,13,-133204.87018975,-133430.85965822,-133268.23748604,-133503.54254386,0.00000000,0.00000000
0097,10,-133209.12744349,-133434.01257594,-133271.28089019,-133504.96452512,0.00000000,0.00000000
0098,9,-133211.69461828,-133430.07982644,-133274.25040265,-133501.66036842,0.00000000,0.00000000
0099,15,-133205.02971534,-133427.61408865,-133267.53731540,-133498.90824378,0.00000000,0.00000000
0100,12,-132444.96009782,-132665.58209048,-132493.17097973,-132722.64294983,0.00000000,0.00000000
0101,11,-131675.44834988,-131888.71861736,-131709.09654974,-131930.94812977,0.00000000,0.00000000
0102,15,-133969.73550224,-134190.04840857,-134045.48800343,-134275.18478084,0.00000000,0.00000000
0107,15,-133212.41614183,-133432.81762747,-133273.60854213,-133503.11635268,0.00000000,0.00000000
0109,15,-133970.41701575,-134191.03635404,-134046.18307360,-134276.13352647,0.00000000,0.00000000
0110,16,-133973.84463853,-134197.55201000,-134049.45402423,-134282.25468709,0.00000000,0.00000000
0112,13,-132445.47306214,-132664.41248714,-132492.31731697,-132720.37741056,0.00000000,0.00000000
0114,17,-133971.74879278,-134194.35298285,-134047.43635020,-134279.28332150,0.00000000,0.00000000
0116,14,-133964.42597070,-134189.62251126,-134039.94098878,-134274.75347355,0.00000000,0.00000000
0117,11,-133200.03338032,-133424.62023844,-133262.29658959,-133496.01235037,0.00000000,0.00000000
0118,12,-133966.40480466,-134193.30625852,-134041.89488251,-134278.21924350,0.00000000,0.00000000
0119,12,-133211.25804702,-133433.25603106,-133272.22646385,-133503.69702228,0.00000000,0.00000000
0121,11,-133959.46439974,-134187.05422578,-134034.88314331,-134272.15732181,0.00000000,0.00000000
0122,9,-133201.04524019,-133428.33122590,-133264.12238367,-133501.04030664,0.00000000,0.00000000
0123,10,-133201.39324469,-133424.70196534,-133263.73432732,-133496.59846415,0.00000000,0.00000000
0124,10,-133965.39004569,-134192.25278845,-134040.72280600,-134277.11472251,0.00000000,0.00000000
0125,9,-133205.13487974,-133428.46077534,-133266.33612021,-133499.15163575,0.00000000,0.00000000
0126,9,-132433.46152928,-132652.80653909,-132480.00786898,-132708.78458259,0.00000000,0.00000000
0128,6,-133210.64637537,-133430.49198128,-133274.29526676,-133503.40320384,0.00000000,0.00000000
0129,7,-133206.70962236,-133424.97301201,-133269.71497143,-133496.91732966,0.00000000,0.00000000
0131,10,-141779.34381267,-141977.32432209,-141806.54945383,-142012.94006901,0.00000000,0.00000000
0132,8,-133210.79156236,-133428.98064855,-133272.14144463,-133499.67851961,0.00000000,0.00000000
0133,8,-132441.34188771,-132655.03737479,-132488.25125460,-132711.15859561,0.00000000,0.00000000
0198,13,-156499.81128798,-156722.28287264,-156561.15864941,-156793.03991617,0.00000000,0.00000000
0208,10,-155743.88917898,-155967.98627809,-155792.61387442,-156025.26956841,0.00000000,0.00000000
0209,8,-155004.45653303,-155215.16826653,-155038.17677841,-155257.78607778,0.00000000,0.00000000
0210,13,-155741.45432095,-155963.06587805,-155789.44575619,-156019.75721977,0.00000000,0.00000000
0211,11,-155000.75070370,-155210.56234941,-155034.47300536,-155252.94884724,0.00000000,0.00000000
0323,15,-157073.13778868,-157295.35748455,-157139.15108528,-157369.91844142,0.00000000,0.00000000
0324,12,-157068.97801234,-157291.72884523,-157134.43958763,-157366.05284317,0.00000000,0.00000000
0325,15,-157086.96258700,-157315.54232262,-157155.84072181,-157393.55844385,0.00000000,0.00000000
0326,15,-157090.64582597,-157315.39595591,-157158.48925851,-157392.60008749,0.00000000,0.00000000
0327,16,-157087.82489241,-157315.72521041,-157155.40180429,-157392.52119559,0.00000000,0.00000000
0328,12,-157096.27402591,-157321.25523641,-157164.45290386,-157398.18749292,0.00000000,0.00000000
